Adjective	Frequency	ComparativeFrequency	OddsRatio	LoggedOdds	Probability	Beta
e	597	9	0.231064921490622	-1.46505656253226	0.18769515519201	-1.36573128305266
abdominal	184	2	0.165902783330993	-1.79635330476557	0.14229555474343	-1.65688362423877
aberrant	25	2	1.31283791159366	0.27219113879973	0.567630747063053	0.258425517063534
abject	156	7	0.709277707669172	-0.343508139903018	0.414957560428473	-0.326018562475439
able	988	78	1.29415086539534	0.257854777687241	0.564108875713509	0.24482939339042
ablaze	78	0	0	-Inf	0	-3.66356164612965
abnormal	441	2	0.0687761871051419	-2.6768977116132	0.0643504111851774	-2.36179382289028
abominable	58	4	1.11834322520581	0.111848326907898	0.527932967565799	0.106245105492563
aboriginal	595	0	0	-Inf	0	-3.66356164612965
abrasive	105	7	1.07840267609934	0.0754809427189518	0.518861281550716	0.0717035755191344
abreast	120	0	0	-Inf	0	-3.66356164612965
abrupt	373	6	0.246813759842013	-1.39912123549851	0.197955595126964	-1.30659122018922
absent	839	7	0.127004644016622	-2.06353162613209	0.112692210001886	-1.88288716631432
absentminded	16	2	2.15680904371147	0.768629834842543	0.683224424995851	0.726620394571161
absolute	3043	25	0.124996663651167	-2.07946823282671	0.11110847497582	-1.89607765147862
abstract	1431	124	1.43253019359206	0.359442246935808	0.588905411067757	0.341110043360573
abstruse	31	0	0	-Inf	0	-3.66356164612965
absurd	916	26	0.441009774205993	-0.818688240048492	0.306042181045575	-0.77341853902405
abundant	766	111	2.55905234166115	0.939637010919683	0.719026329482623	0.886053163257615
abysmal	113	3	0.411747755395826	-0.887344361315503	0.291658161893362	-0.837435112387515
ac	14	0	0	-Inf	0	-3.66356164612965
academic	8338	59	0.107432740572193	-2.23089029632289	0.0970106234322491	-2.01960256979302
accessible	1420	219	2.75418666290557	1.01312217684239	0.733630719569483	0.954150863753739
accidental	600	5	0.12685745348614	-2.06469123639628	0.112576309535587	-1.88384813237428
accurate	3079	491	2.8671295540774	1.05331137390868	0.741410266706574	0.991275345586047
accursed	36	0	0	-Inf	0	-3.66356164612965
acidic	86	3	0.545692759014052	-0.605699174047765	0.35304089757277	-0.573676814481807
acoustic	44	0	0	-Inf	0	-3.66356164612965
acquisitive	41	1	0.377438463500082	-0.974347734176538	0.274014755287875	-0.918252871289442
acrid	82	2	0.377436573496419	-0.974352741637562	0.27401375915143	-0.918257512213847
acrimonious	85	6	1.1466569098119	0.136850673796025	0.534159373382296	0.129988344200463
acrobatic	46	3	1.05332240235617	0.0519493613668952	0.512984420346016	0.0493508110448682
active	6970	494	1.15189880108195	0.141411712131957	0.535294132095239	0.134319283631383
actual	6571	7	0.0160795325278932	-4.13020808730234	0.0158250727557606	-3.17717348074536
actuarial	44	1	0.351105335639066	-1.04666899900193	0.259865257265819	-0.985145517894056
acute	1314	104	1.29774017846039	0.260624427567412	0.564789783730007	0.247456233486095
adamant	215	10	0.736460981822293	-0.305899022320854	0.424116055316964	-0.290382396913935
additional	7389	8	0.0163398702609399	-4.11414712954876	0.016077171366646	-3.17095950694421
additive	131	0	0	-Inf	0	-3.66356164612965
adept	246	43	3.19830375648145	1.16262059316613	0.761808564123981	1.09178731860406
adequate	2861	55	0.295808570903876	-1.21804275379095	0.228281072950103	-1.14247073842317
adjacent	611	2	0.0495758849754285	-3.00425075349146	0.0472342073451784	-2.58864956736516
administrative	3554	7	0.029774504259937	-3.5141028134197	0.0289136156865089	-2.89365855893838
admirable	332	18	0.865460974597458	-0.144492995391172	0.463939469322972	-0.13724504283068
admissible	105	0	0	-Inf	0	-3.66356164612965
adoptive	298	0	0	-Inf	0	-3.66356164612965
adorable	171	0	0	-Inf	0	-3.66356164612965
adrenal	35	0	0	-Inf	0	-3.66356164612965
adrift	140	2	0.218801258848349	-1.51959145503062	0.179521687608934	-1.414370662825
adroit	42	6	2.51629664261232	0.92278823435737	0.715609886867485	0.870402257508739
advantageous	273	47	3.14007466686529	1.1442465788939	0.758458462596482	1.07494162308635
adverbial	46	1	0.335500519128835	-1.09213177524273	0.251217063807423	-1.02705109281555
adverse	1046	11	0.160429698080393	-1.82989945056076	0.138250251907357	-1.68573358683358
advisable	100	4	0.629062751407884	-0.463524263493248	0.386150104324852	-0.439573505238439
advisory	1349	3	0.033641156111622	-3.39200507729724	0.0325462622233176	-2.82630871640337
aerobic	320	2	0.0949480528771813	-2.35442534875684	0.0867146643420092	-2.11779816504545
aesthetic	2684	10	0.0564321407284196	-2.87471641172171	0.0534176674040882	-2.50159008886206
affable	90	2	0.343123605751225	-1.069664530111	0.255466886503951	-1.00635625769051
affirmative	159	8	0.799868736285774	-0.22330764441953	0.444403927997766	-0.212056158292317
afghan	870	3	0.0522322475852941	-2.95205520500155	0.0496394666720763	-2.55401086813204
afire	83	1	0.184114768715553	-1.69219597280066	0.155487266589258	-1.56652109199995
aflame	46	0	0	-Inf	0	-3.66356164612965
afloat	193	1	0.0786306098549475	-2.5429942170003	0.0728985522351546	-2.26277004484354
aforementioned	255	0	0	-Inf	0	-3.66356164612965
afraid	5915	98	0.254130198571689	-1.36990855049249	0.202634621876671	-1.28027808672033
african	10141	99	0.148585356322758	-1.90659569581567	0.129363791297549	-1.7512024213416
aft	78	0	0	-Inf	0	-3.66356164612965
afterward	11	0	0	-Inf	0	-3.66356164612965
ageless	55	0	0	-Inf	0	-3.66356164612965
aggregate	49	1	0.314531546943212	-1.15667089962667	0.239272726222979	-1.08633478758156
aghast	81	0	0	-Inf	0	-3.66356164612965
agile	155	29	3.47506560142957	1.24561335694779	0.776539588675405	1.16760927566765
aglow	42	1	0.368232573272247	-0.99904054784879	0.269130102926571	-0.941122801186878
agog	15	0	0	-Inf	0	-3.66356164612965
agrarian	510	3	0.0893267009561916	-2.41545483292325	0.0820017547332515	-2.16539163748753
agricultural	3829	14	0.0553639399977133	-2.8938267997263	0.0524595714326124	-2.51466340354908
